EntrezID	GeneSymbol	RNAseq-EryP-Rep1	RNAseq-EryP-Rep2	RNAseq-EryP-Rep3	RNAseq-EryD-Rep1	RNAseq-EryD-Rep2	RNAseq-EryD-Rep3
76505	1500009C09Rik	0.398237264	0.092938249	0.166442556	0.090044751	0.375468954	0.45548218
76507	Aoc1	0.251856015	0.615718588	0.574489846	0.254847487	0.083318543	0.199746348
76508	2210015D19Rik	3.211839794	2.948704202	3.219643026	2.478357625	2.228368796	2.542538722
76509	1600029D21Rik	0.251856015	0.484644238	0.688349116	0.090044751	0.083318543	0.103327367
76510	Trappc9	5.316398246	5.209383571	5.523620683	4.724610091	4.596122413	4.705750889
76522	Naa38	4.363341771	4.394279458	4.700874351	4.871498917	5.004210038	4.872265666
76524	Cln6	4.788672204	4.621861165	4.606261592	5.485239244	5.624529827	5.548780078
76527	Il34	0.251856015	0.092938249	0.085620241	0	0.307788639	0.290123112
76539	D19Ertd737e	4.126563877	4.412425177	4.469610666	4.288958059	4.519659781	4.32247193
76547	Tmem101	3.88099267	3.878457244	3.865318495	4.210830688	4.091877768	4.103171026
76551	Ccdc6	6.022909056	5.945281309	6.219069871	6.749363902	6.937577647	6.657326803
76559	Atg2b	6.238690962	6.001803206	6.211947517	6.329287675	6.174401933	6.137955771
76560	Prss8	0.817993208	1.091653939	0.84387938	0.599532604	0.673124304	0.290123112
76561	Snx7	0.172690617	0.340460315	0.38484472	0.599532604	0.673124304	0.974695723
76563	Qrsl1	2.52818374	2.483175739	2.588275829	2.223725993	2.228368796	2.142549841
76566	Fam101b	1.012403732	1.614824791	1.303022233	1.234174596	0.873680351	1.079786381
76568	Ift46	2.866780243	2.805005881	2.780270085	2.844527688	2.80831823	2.870087983
76571	Styxl1	0	0.262577947	0.242976257	0.330687802	0.162086862	0.199746348
76572	Rbmxl2	0.088927651	0.180250055	0	0	0	0.290123112
76573	Spatc1l	0	0.092938249	0	0	0.083318543	0.199746348
76574	Mfsd2a	0.251856015	0.092938249	0.242976257	0.090044751	0.083318543	0.199746348
76577	Faf2	5.311786992	5.112815436	5.144162355	5.468549099	5.458905748	5.347764497
76580	Mib2	3.151183004	2.734636145	3.247774876	1.838398361	2.153231234	2.303095363
76582	Ipo11	7.213122673	7.207380691	7.397943535	6.348798939	6.439449815	6.347148404
76585	Lce1i	0.088927651	0.092938249	0	0	0	0
76589	Unc5cl	0.172690617	0.092938249	0.085620241	4.480100863	4.248992185	4.603711583
76594	Dnajc18	2.802494644	2.985532029	2.938225465	3.157301413	3.135574689	3.124628118
76601	1700041M19Rik	0	0	0.085620241	0	0	0.45548218
76604	1700047A11Rik	0.531124746	0.998630191	0.450868746	0.599532604	0.826094101	0.738321536
76606	1700034O15Rik	0	0.340460315	0	0.254847487	0.440115989	0.531557862
76608	Hectd3	6.239905119	6.19762287	6.330683933	6.349938484	6.434499988	6.412738597
76609	1700065O20Rik	0.172690617	0	0	0	0	0
76612	Lrrc27	0.593243493	0.484644238	0.38484472	0.090044751	0.083318543	0
76614	Immt	7.558385951	7.555949441	7.773028698	7.260947461	7.279266964	7.15198143
76615	Got1l1	0.817993208	0.262577947	0.574489846	0	0	0.672638635
76624	1700099I09Rik	0	0.092938249	0	0.330687802	0.375468954	0.103327367
76626	Msi2	5.906929611	5.940599908	5.863706626	5.019202005	5.212861335	5.070173
76627	1700110M21Rik	0.251856015	0.262577947	0.085620241	0.17479807	0	0
76629	Wbscr28	0	0.262577947	0.085620241	0.254847487	0.083318543	0.199746348
76630	Stambpl1	0.088927651	0.484644238	0.450868746	0.402739632	0.162086862	0.45548218
76633	1700112E06Rik	0.088927651	0	0	0	0	0.103327367
76634	1700110C19Rik	0	0.262577947	0	0.17479807	0.083318543	0.103327367
76639	1700121N20Rik	0	0.092938249	0.315653629	0	0.083318543	0
76640	1700113H08Rik	0	0	0	0	0.162086862	0
76642	1700113A16Rik	2.412346554	2.614377685	2.465881709	1.812179776	1.623318217	1.876933519
